imdb_id,tmbd_id,title,mpa,genre,runtime,release_date,producion_company,revenue,budget,vote_average,vote_count,popularity,director,director_gender
tt0102926,274,The Silence of the Lambs,R,Crime,119,1991-02-14,Orion Pictures,272742922,19000000,8.347,15497,16.734,Jonathan Demme,Male
tt0101587,1406,City Slickers,PG-13,Comedy,114,1991-06-07,Castle Rock Entertainment,179033791,27000000,6.4,705,21.767,Ron Underwood,Male
tt0102057,879,Hook,PG,Adventure,141,1991-04-10,Amblin Entertainment,300900000,70000000,6.8,5047,36.401,Steven Spielberg,Male
tt0101272,2907,The Addams Family,PG-13,Comedy,102,1991-11-22,Paramount,191502426,30000000,7.039,4261,42.903,Barry Sonnenfeld,Male
tt0102945,7442,Sleeping with the Enemy,R,Drama,99,1991-01-13,20th Century Fox,175000000,19000000,6.488,1001,31.741,Joseph Ruben,Male
tt0101862,11846,Father of the Bride,PG,Comedy,105,1991-12-20,Touchstone Pictures,89325780,20000000,6.455,1267,21.931,Charles Shyer,Male
tt0102510,37137,The Naked Gun 2½: The Smell of Fear,PG-13,Comedy,85,1991-06-28,Paramount,192000000,23000000,6.786,2062,26.764,David Zucker,Male
tt0101921,1633,Fried Green Tomatoes,PG-13,Drama,130,1991-12-27,Universal Pictures,119400000,11000000,7.704,1248,33.562,Jon Avnet,Male
tt0101540,1598,Cape Fear,R,Crime,128,1991-11-13,Amblin Entertainment,182300000,35000000,7.268,3211,22.49,Martin Scorsese,Male
tt0103060,1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,Science Fiction,88,1991-03-22,Orange Sky Golden Harvest,78656813,25000000,6.09,1045,28.556,Michael Pressman,Male
tt0101393,2924,Backdraft,R,Drama,137,1991-05-24,Trilogy Entertainment Group,152368585,75000000,6.642,1317,17.309,Ron Howard,Male
tt0102975,174,Star Trek VI: The Undiscovered Country,PG,Science Fiction,109,1991-12-06,Paramount,96900000,27000000,7.002,1189,22.219,Nicholas Meyer,Male
tt0102713,10333,The Prince of Tides,R,Drama,132,1991-12-25,Columbia Pictures,74787599,30000000,6.6,255,17.522,Barbra Streisand,Female
tt0102138,820,JFK,R,Drama,189,1991-12-20,Warner Bros. Pictures,205405498,40000000,7.6,1947,25.782,Oliver Stone,Male
tt0102059,9595,Hot Shots!,PG-13,Action,84,1991-07-31,20th Century Fox,181096164,26000000,6.564,2019,35.45,Jim Abrahams,Male
tt0103241,10276,What About Bob?,PG,Comedy,100,1991-05-17,Touchstone Pictures,63710000,35000000,6.848,763,15.122,Frank Oz,Male
tt0102266,9319,The Last Boy Scout,R,Action,105,1991-12-13,Geffen Pictures,59500000,29000000,6.799,1744,28.979,Tony Scott,Male
tt0102492,4032,My Girl,PG,Comedy,103,1991-11-27,Columbia Pictures,59490000,17000000,7.362,1945,32.228,Howard Zieff,Male
tt0101507,650,Boyz n the Hood,R,Crime,112,1991-07-12,Columbia Pictures,57504069,6500000,7.618,1844,23.886,John Singleton,Male
tt0101745,11821,Doc Hollywood,PG-13,Comedy,104,1991-08-02,Warner Bros. Pictures,54830779,20000000,6.338,563,16.509,Michael Caton-Jones,Male
tt0101516,10337,Bugsy,R,Crime,134,1991-12-10,TriStar Pictures,49114016,30000000,6.384,358,17.01,Barry Levinson,Male
tt0102526,10952,New Jack City,R,Thriller,97,1991-03-08,Jacmac Films,47624253,8500000,6.578,490,13.422,Mario Van Peebles,Male
tt0102803,10249,The Rocketeer,PG,Action,108,1991-06-21,Walt Disney Pictures,46704056,42000000,6.48,865,24.148,Joe Johnston,Male
